month,product,sales,region,revenue
2024-01,Laptop,45,North,67500
2024-01,Phone,120,North,48000
2024-01,Tablet,67,North,20100
2024-01,Laptop,38,South,57000
2024-01,Phone,95,South,38000
2024-01,Tablet,52,South,15600
2024-02,Laptop,52,North,78000
2024-02,Phone,135,North,54000
2024-02,Tablet,73,North,21900
2024-02,Laptop,41,South,61500
2024-02,Phone,108,South,43200
2024-02,Tablet,59,South,17700
2024-03,Laptop,48,North,72000
2024-03,Phone,142,North,56800
2024-03,Tablet,81,North,24300
2024-03,Laptop,44,South,66000
2024-03,Phone,115,South,46000
2024-03,Tablet,63,South,18900
2024-04,Laptop,55,North,82500
2024-04,Phone,158,North,63200
2024-04,Tablet,89,North,26700
2024-04,Laptop,47,South,70500
2024-04,Phone,122,South,48800
2024-04,Tablet,71,South,21300
2024-05,Laptop,61,North,91500
2024-05,Phone,171,North,68400
2024-05,Tablet,94,North,28200
2024-05,Laptop,53,South,79500
2024-05,Phone,139,South,55600
2024-05,Tablet,78,South,23400
2024-06,Laptop,58,North,87000
2024-06,Phone,164,North,65600
2024-06,Tablet,92,North,27600
2024-06,Laptop,49,South,73500
2024-06,Phone,131,South,52400
2024-06,Tablet,75,South,22500
